Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
LNGG_KAL,,Greenlandic,Kalaallisut; Greenlandic,,,ISO639-2
LNGG_KAM,,,Kamba,,,ISO639-2
LNGG_KAN,,Kannada,Kannada,,,ISO639-2
LNGG_KAR,,,Karen languages,,,ISO639-2
LNGG_KAS,,Kashmiri,Kashmiri,,,ISO639-2
LNGG_KAT,,Georgian,Georgian,,,ISO639-2
LNGG_KAU,,Kanuri,Kanuri,,,ISO639-2
LNGG_KAW,,,Kawi,,,ISO639-2
LNGG_KAZ,,Kazakh,Kazakh,,,ISO639-2
LNGG_KBD,,,Kabardian,,,ISO639-2
LNGG_KHA,,,Khasi,,,ISO639-2
LNGG_KHI,,,Khoisan languages,,,ISO639-2
LNGG_KHM,,Khmer,Central Khmer,,,ISO639-2
LNGG_KHO,,,Khotanese; Sakan,,,ISO639-2
LNGG_KIK,,Kikuyu,Kikuyu; Gikuyu,,,ISO639-2
LNGG_KIN,,Kinyarwanda,Kinyarwanda,,,ISO639-2
LNGG_KIR,,,Kirghiz; Kyrgyz,,,ISO639-2
LNGG_KMB,,,Kimbundu,,,ISO639-2
LNGG_KOK,,Konkani,Konkani,,,ISO639-2
LNGG_KOM,,,Komi,,,ISO639-2
LNGG_KON,,,Kongo,,,ISO639-2
LNGG_KOR,,Korean,Korean,,,ISO639-2
LNGG_KOS,,,Kosraean,,,ISO639-2
LNGG_KPE,,,Kpelle,,,ISO639-2
LNGG_KRC,,,Karachay-Balkar,,,ISO639-2
LNGG_KRL,,,Karelian,,,ISO639-2
LNGG_KRO,,,Kru languages,,,ISO639-2
LNGG_KRU,,,Kurukh,,,ISO639-2
LNGG_KUA,,,Kuanyama; Kwanyama,,,ISO639-2
LNGG_KUM,,,Kumyk,,,ISO639-2
LNGG_KUR,,Kurdish,Kurdish,,,ISO639-2
LNGG_KUT,,,Kutenai,,,ISO639-2
LNGG_LAD,,,Ladino,,,ISO639-2
LNGG_LAH,,,Lahnda,,,ISO639-2
LNGG_LAM,,,Lamba,,,ISO639-2
